name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
vinhphuc,2020-09-01,34.4,24.8,29.6,43.9,24.8,35.3,25.3,78.8,0.5,100,20.83,rain,,,,15.4,208.8,1006.3,62.1,18.8,236,20.3,8,,2020-09-01T05:41:47,2020-09-01T18:12:50,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-02,34.9,26.1,29.9,43.4,26.1,36.4,25.9,79.7,0,0,0,,,,,9.4,210.3,1006.5,77.6,17,125.4,10.8,4,,2020-09-02T05:42:00,2020-09-02T18:11:58,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48823099999,48840099999,remote"
vinhphuc,2020-09-03,34.5,27.1,30.3,45.8,30.6,37.4,25.9,78.5,0.1,100,4.17,rain,,,,9.9,166.9,1007.4,76.6,17.3,152.1,13,5,,2020-09-03T05:42:14,2020-09-03T18:11:05,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-04,33.2,26.4,29.6,41.4,26.4,35.8,25.8,81.3,3.04,100,4.17,rain,,,,12.7,188.6,1007.1,80.4,18.8,243.4,20.9,8,,2020-09-04T05:42:27,2020-09-04T18:10:12,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-05,34,25.8,29.4,44.9,25.8,35.8,26.3,84.2,3.2,100,37.5,rain,,,,13,173.5,1005,68.4,18.8,214.9,18.6,7,,2020-09-05T05:42:40,2020-09-05T18:09:19,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-06,34.2,26.6,29.8,45.9,26.6,37.1,26.5,83.1,3.9,100,37.5,rain,,,,10.8,208.7,1003.3,88,17.9,139.1,12.1,4,,2020-09-06T05:42:53,2020-09-06T18:08:26,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-07,32.1,25.7,28.6,39.7,25.7,33.6,25.5,84,26.1,100,12.5,rain,,,,14.4,194.9,1004.5,90.6,15.1,87.6,7.4,3,,2020-09-07T05:43:06,2020-09-07T18:07:32,0.62,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-08,30.4,25.4,27.9,38.2,25.4,32,25.2,85.5,4.9,100,66.67,rain,,,,18,125.1,1007.7,87.3,14.5,100.6,8.7,4,,2020-09-08T05:43:19,2020-09-08T18:06:38,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-09,30,25.2,27.6,37.9,25.2,31.1,25.5,88.2,10.61,100,4.17,rain,,,,14.4,173.7,1007.8,87.8,16.7,107.8,9.4,4,,2020-09-09T05:43:32,2020-09-09T18:05:44,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48823099999,48840099999,remote"
vinhphuc,2020-09-10,31.8,25.5,28.2,42.4,25.5,32.8,25.9,87.6,1.8,100,45.83,rain,,,,18,183.5,1004.9,87.8,13.9,123.4,10.7,4,,2020-09-10T05:43:44,2020-09-10T18:04:49,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48823099999,48840099999,remote"
