name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Hà Nội, Việt Nam",2025-02-25,16.4,13,14.3,16.4,13,14.3,12.4,88.3,0.7,100,20.83,rain,0,0,7.6,11.2,38.7,1025.5,94.9,11,47.3,4.1,3,10,2025-02-25T06:20:09,2025-02-25T17:59:29,0.91,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,VVNB
"Hà Nội, Việt Nam",2025-02-26,16.9,16,16.4,16.9,16,16.4,12.8,79,0,25.8,0,,0,0,11.2,6.8,65,1022.4,99.6,24.1,19.8,1.6,1,10,2025-02-26T06:19:24,2025-02-26T17:59:54,0.94,Overcast,Cloudy skies throughout the day.,cloudy,
"Hà Nội, Việt Nam",2025-02-27,24,16.2,19.3,24,16.2,19.3,15.2,77.9,0.1,0,4.17,rain,0,0,32.8,16.6,128.9,1017.2,80.9,24.1,160.5,13.9,8,10,2025-02-27T06:18:39,2025-02-27T18:00:19,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Hà Nội, Việt Nam",2025-02-28,24.4,18.3,21.1,24.4,18.3,21.1,18.3,84.5,0.5,3.2,16.67,rain,0,0,33.1,15.5,145,1014.5,95.9,23.9,67.4,6,4,10,2025-02-28T06:17:52,2025-02-28T18:00:43,0,Overcast,Cloudy skies throughout the day.,cloudy,
"Hà Nội, Việt Nam",2025-03-01,26.9,20.1,22.6,28.2,20.1,22.7,19.7,84.4,0.4,3.2,16.67,rain,0,0,40.7,22.7,142.8,1012,81,24.1,90,7.7,4,10,2025-03-01T06:17:05,2025-03-01T18:01:07,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Hà Nội, Việt Nam",2025-03-02,28.5,20.5,23.5,30.3,20.5,23.8,20,82.2,0.8,12.9,16.67,rain,0,0,36.4,21.6,133.2,1008.6,64.5,24.1,111.3,9.6,5,10,2025-03-02T06:16:18,2025-03-02T18:01:31,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Hà Nội, Việt Nam",2025-03-03,30.7,22,25.1,32.5,22,25.6,20.3,76.4,0.3,12.9,8.33,rain,0,0,31.3,18,126.6,1006.5,90.9,24.1,207.8,18,7,5,2025-03-03T06:15:30,2025-03-03T18:01:54,0.11,Overcast,Cloudy skies throughout the day.,cloudy,
"Hà Nội, Việt Nam",2025-03-04,25.1,21.5,23.4,25.1,21.5,23.4,20.2,82.2,1.5,29,29.17,rain,0,0,22,14,118,1008.4,100,24.1,51.3,4.7,2,10,2025-03-04T06:14:41,2025-03-04T18:02:17,0.15,Overcast,Cloudy skies throughout the day.,cloudy,
"Hà Nội, Việt Nam",2025-03-05,21.3,15.2,17.9,21.3,15.2,17.9,14.1,78.6,2.4,51.6,25,rain,0,0,21.2,14.8,46.2,1013.9,100,23.2,17.5,1.2,1,10,2025-03-05T06:13:52,2025-03-05T18:02:39,0.18,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,
"Hà Nội, Việt Nam",2025-03-06,15.2,14,14.9,15.2,14,14.9,10.6,75.8,0.7,67.7,16.67,rain,0,0,22,13,29.7,1017.8,100,24.1,17,1.5,1,10,2025-03-06T06:13:02,2025-03-06T18:03:01,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
"Hà Nội, Việt Nam",2025-03-07,14.5,13.5,13.8,14.5,13.5,13.8,10.4,79.5,1.1,67.7,25,rain,0,0,20.2,12.2,25.9,1019.6,100,24.1,15.3,1.2,1,10,2025-03-07T06:12:11,2025-03-07T18:03:23,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,
"Hà Nội, Việt Nam",2025-03-08,15.7,13.1,14.3,15.7,13.1,14.3,10.7,79,0.6,51.6,12.5,rain,0,0,11.3,7.2,33.1,1019.1,99.9,24.1,37.8,3.3,2,10,2025-03-08T06:11:21,2025-03-08T18:03:45,0.29,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,
"Hà Nội, Việt Nam",2025-03-09,20.3,15,17.2,20.3,15,17.2,13.1,77,0.1,41.9,4.17,rain,0,0,14.4,13.7,82.9,1016.8,91.7,24.1,116.3,10.5,5,10,2025-03-09T06:10:29,2025-03-09T18:04:06,0.32,Overcast,Cloudy skies throughout the day.,cloudy,
"Hà Nội, Việt Nam",2025-03-10,18.3,17.3,17.8,18.3,17.3,17.8,16.4,91,4.4,45.2,33.33,rain,0,0,13.3,6.8,55,1017.1,100,23.5,12.8,1.2,1,10,2025-03-10T06:09:38,2025-03-10T18:04:27,0.36,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,
