name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Hà Nội, Việt Nam",2025-04-08,28,21,23.6,30.6,21,24.1,20.5,83.3,0.3,100,12.5,rain,0,0,33.1,18,121.9,1014.5,77.2,9.7,114.5,10.1,3,10,2025-04-08T05:43:45,2025-04-08T18:13:32,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,VVNB
"Hà Nội, Việt Nam",2025-04-09,31.4,21.1,25.4,33.8,21.1,26.1,20.9,77.8,0.3,19.4,8.33,rain,0,0,39.6,22,155.7,1010,92.7,23.8,160.5,14.1,7,10,2025-04-09T05:42:53,2025-04-09T18:13:51,0.37,Overcast,Cloudy skies throughout the day.,cloudy,
"Hà Nội, Việt Nam",2025-04-10,36.6,22.8,27.5,39.4,22.8,28.6,21.1,70.9,0.1,19.4,4.17,rain,0,0,50.4,31.7,148.6,1005.6,63.6,24.1,287.3,24.7,10,30,2025-04-10T05:42:02,2025-04-10T18:14:10,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Hà Nội, Việt Nam",2025-04-11,34.7,23.5,26.5,38.6,23.5,27.5,22,78,1.5,35.5,20.83,rain,0,0,40.3,22.7,139.1,1004.6,64.6,23.4,174.8,15.1,8,30,2025-04-11T05:41:11,2025-04-11T18:14:29,0.44,Partially cloudy,Partly cloudy throughout the day with storms possible.,partly-cloudy-day,
"Hà Nội, Việt Nam",2025-04-12,26.6,21.5,23.9,26.6,21.5,23.9,18.5,73.7,1.9,45.2,16.67,rain,0,0,55.4,34.9,14.3,1009.7,96.6,23.5,67.5,5.8,5,10,2025-04-12T05:40:21,2025-04-12T18:14:48,0.47,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,
"Hà Nội, Việt Nam",2025-04-13,21.5,17.5,19.7,21.5,17.5,19.7,14.6,72.6,1.8,12.9,12.5,rain,0,0,24.8,15.5,307.6,1015.9,100,24,57.2,4.8,3,10,2025-04-13T05:39:31,2025-04-13T18:15:07,0.5,Overcast,Cloudy skies throughout the day.,cloudy,
"Hà Nội, Việt Nam",2025-04-14,24.6,17.7,20.7,24.6,17.7,20.7,15.5,72.5,0.1,12.9,4.17,rain,0,0,12.2,8.3,255.9,1013.9,97.4,24.1,105.8,9.4,4,10,2025-04-14T05:38:41,2025-04-14T18:15:27,0.54,Overcast,Cloudy skies throughout the day.,cloudy,
"Hà Nội, Việt Nam",2025-04-15,24.9,20,22.8,24.9,20,22.8,16.3,67.6,0,6.5,0,,0,0,8.6,6.1,347.6,1013.5,91.9,24.1,67.5,6,2,10,2025-04-15T05:37:52,2025-04-15T18:15:47,0.57,Overcast,Cloudy skies throughout the day.,cloudy,
"Hà Nội, Việt Nam",2025-04-16,32.7,20.7,25.9,32.9,20.7,26,16.1,56.4,0,9.7,0,,0,0,41.8,24.8,151.7,1010.8,75.9,24.1,266.6,23.4,9,10,2025-04-16T05:37:04,2025-04-16T18:16:07,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Hà Nội, Việt Nam",2025-04-17,29.4,22.1,24.9,31.6,22.1,25.4,20.5,77.6,0.2,12.9,8.33,rain,0,0,36.7,20.2,145.2,1009,77.7,24.1,84.8,7.2,3,10,2025-04-17T05:36:16,2025-04-17T18:16:27,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Hà Nội, Việt Nam",2025-04-18,29.4,22.2,24.8,32.7,22.2,25.6,21.7,83.4,0.1,45.2,4.17,rain,0,0,36.4,20.2,134.8,1008.1,86,24.1,80.1,7.4,4,10,2025-04-18T05:35:29,2025-04-18T18:16:47,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
"Hà Nội, Việt Nam",2025-04-19,30.7,23.4,25.9,35,23.4,27.2,22.6,82.6,1.4,51.6,20.83,rain,0,0,28.8,16.6,123.3,1007.5,83.9,24.1,148.1,13.1,6,30,2025-04-19T05:34:42,2025-04-19T18:17:08,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
"Hà Nội, Việt Nam",2025-04-20,32,23.4,26,36.6,23.4,27.4,22.8,83.2,3.1,51.6,20.83,rain,0,0,31.8,18,125.9,1006,72.5,24.1,131.1,11.5,6,30,2025-04-20T05:33:56,2025-04-20T18:17:28,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
"Hà Nội, Việt Nam",2025-04-21,36.5,23.7,27.9,42.3,23.7,30,23.1,77.7,2.6,29,4.17,rain,0,0,44.6,22,141.5,1005.3,53.5,24.1,222.1,19.5,8,75,2025-04-21T05:33:11,2025-04-21T18:17:49,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
